reminderID,industryID,dueDate,reminderType,reminderStatus,reminderDate,applicationID
1,1906,2015-01-01,1,1,2015-01-01,4581
2,18668,2015-01-01,1,1,2015-01-01,17230
3,6599,2015-01-21,1,1,2015-01-21,8210
4,2653,2015-01-21,1,1,2015-01-21,5152
5,14685,2015-01-21,1,1,2015-01-21,14432
6,2652,2015-01-21,1,1,2015-01-21,5151
7,530,2016-02-07,1,1,2016-05-05,23149
8,26493,2016-02-25,1,1,2016-05-05,23233
9,253,2016-02-15,1,1,2016-05-05,23787
10,902,2016-02-05,1,1,2016-05-05,882
11,50,2016-02-20,1,1,2016-05-05,23269
12,97,2016-02-02,1,1,2016-05-05,23430
13,26465,2016-02-25,1,1,2016-05-05,23196
14,187,2016-02-15,1,1,2016-05-05,23778
15,533,2016-02-10,1,1,2016-05-05,23164
16,134,2016-02-03,1,1,2016-05-05,23146
17,68,2016-02-24,1,1,2016-05-05,23663
18,87,2016-02-06,1,1,2016-05-05,23144
19,301,2016-02-17,1,1,2016-05-05,24283
20,19,2016-02-08,1,1,2016-05-05,23314
21,529,2016-02-13,1,1,2016-05-05,23165
22,93,2016-02-18,1,1,2016-05-05,24140
23,392,2016-02-25,1,1,2016-05-05,23237
24,95,2016-02-20,1,1,2016-05-05,23147
25,26492,2016-02-19,1,1,2016-05-05,23232
26,430,2016-02-19,1,1,2016-05-05,23661
27,343,2016-02-05,1,1,2016-05-05,339
28,194,2016-02-02,1,1,2016-05-05,23492
29,25857,2016-02-02,1,1,2016-05-05,22534
30,98,2016-02-06,1,1,2016-05-05,23162
31,26487,2016-02-24,1,1,2016-05-05,23229
32,24460,2016-02-05,1,1,2016-05-05,21132
33,254,2016-02-13,1,1,2016-05-05,23161
34,26997,2016-02-27,1,1,2016-05-05,23716
35,207,2016-02-17,1,1,2016-05-05,23268
36,24434,2016-02-13,1,1,2016-05-05,21114
37,892,2016-02-09,1,1,2016-05-05,875
38,291,2016-02-10,1,1,2016-05-05,23148
39,24524,2016-02-17,1,1,2016-05-05,23275
40,26490,2016-02-20,1,1,2016-05-05,23231
41,49,2016-02-18,1,1,2016-05-05,23262
42,159,2016-02-20,1,1,2016-05-05,23267
43,129,2016-02-06,1,1,2016-05-05,23160
44,26472,2016-02-14,1,1,2016-05-05,23208
45,329,2016-02-10,1,1,2016-05-05,326
46,181,2016-02-09,1,1,2016-05-05,23092
47,38,2016-02-22,1,1,2016-05-05,23504
48,26486,2016-02-24,1,1,2016-05-05,23227
49,153,2016-02-23,1,1,2016-05-05,23437
50,169,2016-02-09,1,1,2016-05-05,23433
